image,gt_cx,gt_cy,gt_visible,pred_cx,pred_cy,pred_visible,centroid_error_px,within_threshold
1-100-_jpg.rf.76f9675ac28c5f5a36d5d0f9f52284b2,269.5,184.5,1,269.70001220703125,184.49000549316406,1,0.2,1
1-11-_jpg.rf.2d8f253bb51dd97b4cb1ab9ba2d24cbb,127.0,98.0,1,126.69999694824219,98.25,1,0.39,1
1-mp4_3450_jpg.rf.4e2b3fa8060faa6db779e759c971b7a5,361.0,179.0,1,-1.0,-1.0,0,-1.0,0
1-mp4_4400_jpg.rf.20e9ac2c3fe2e6df90bd0c16546400b3,437.5,371.5,1,436.29998779296875,372.75,1,1.73,1
100_jpg.rf.b88f72637036e2a32d35ff94c9f8b586,468.5,430.0,1,464.9200134277344,430.2200012207031,1,3.59,1
1015_jpg.rf.b0015c94ceab4b163b287be923d76485,210.0,120.0,1,209.27000427246094,120.45999908447266,1,0.87,1
1021_jpg.rf.11b6d2e50ebf8dff899a65c4e496c8ea,223.5,127.5,1,223.36000061035156,126.79000091552734,1,0.73,1
10_mp4-33_jpg.rf.3967e57933bea66c3c18d54f0f0000c7,299.0,399.0,1,297.8500061035156,398.3800048828125,1,1.3,1
11-mp4_1450_jpg.rf.ec375330878d62ed7de58fa24d5d15d6,501.5,608.0,1,503.3299865722656,610.8699951171875,1,3.4,1
11-mp4_1500_jpg.rf.a4a8b471ce67f42352e7717702d9202a,26.0,581.0,1,214.67999267578125,383.4599914550781,1,273.17,0
110_jpg.rf.9e7523677a98baab2bfa5364ac807d6c,307.5,346.5,1,311.0199890136719,346.7799987792969,1,3.53,1
111_jpg.rf.64758853a3017264a85e454893f1c5e9,325.5,282.0,1,326.1000061035156,287.25,1,5.28,1
11_mp4-9_jpg.rf.d2643bf0020cfbdead150d5fb8f53985,429.0,362.5,1,428.54998779296875,362.3299865722656,1,0.48,1
123_jpg.rf.0aa0cddcda6eaec253715ecfaae017d5,444.5,370.0,1,438.7799987792969,371.54998779296875,1,5.92,1
126_jpg.rf.7b2006711ce002dea63de3f3b1ece37b,373.5,410.5,1,374.5799865722656,411.8699951171875,1,1.74,1
128_jpg.rf.51178cfecb500eb6763ee61413074864,309.5,431.0,1,305.6099853515625,430.0400085449219,1,4.01,1
12_jpg.rf.ff1fc873e119b99527f78afdf2e6fd87,479.0,274.0,1,477.3800048828125,273.44000244140625,1,1.71,1
